FIRSTRECEIVED_DISPOSITION_DATE|NCT_ID|FIRSTRECEIVED_RESULTS_DATE
13-Apr-11|NCT00002207|
13-Apr-11|NCT00002224|
13-Apr-11|NCT00002240|
13-Apr-11|NCT00002246|
13-Apr-11|NCT00002371|
13-Apr-11|NCT00002411|
13-Apr-11|NCT00002429|
16-Feb-11|NCT00002479|
25-May-11|NCT00004093|
28-Jan-11|NCT00004096|
1-Jul-11|NCT00004106|
16-Feb-11|NCT00004165|
18-Feb-11|NCT00004166|
1-Jul-11|NCT00004169|
16-Feb-11|NCT00004171|
16-Feb-11|NCT00004172|
1-Jul-11|NCT00004175|
16-Feb-11|NCT00004181|
16-Feb-11|NCT00004182|
16-Feb-11|NCT00004230|
16-Feb-11|NCT00004231|
13-Apr-11|NCT00004584|
16-Feb-11|NCT00004895|
16-Feb-11|NCT00004896|
25-May-11|NCT00004897|
16-Feb-11|NCT00004898|
16-Feb-11|NCT00004899|
16-Feb-11|NCT00004902|
16-Feb-11|NCT00004907|
23-Aug-11|NCT00004908|
18-Feb-11|NCT00004910|
18-Feb-11|NCT00004911|
18-Feb-11|NCT00004912|
8-Apr-11|NCT00004914|
16-Feb-11|NCT00004915|
1-Jul-11|NCT00004916|
16-Oct-09|NCT00004978|20-Jan-11
18-Feb-11|NCT00005595|
16-Feb-11|NCT00005606|
18-Feb-11|NCT00005608|
1-Jul-11|NCT00005788|
16-Feb-11|NCT00005795|
13-Apr-11|NCT00005918|
18-Feb-11|NCT00006225|
16-Feb-11|NCT00006262|
7-Apr-11|NCT00006400|
21-May-13|NCT00007020|
13-Apr-11|NCT00013897|
20-Jan-10|NCT00016718|
13-Apr-11|NCT00028067|
10-Sep-10|NCT00028301|
1-Jul-11|NCT00028639|
3-May-12|NCT00030186|
5-May-11|NCT00031486|15-Mar-12
20-Jul-11|NCT00031512|
3-Feb-10|NCT00035516|
3-Sep-10|NCT00035529|
15-Feb-10|NCT00035542|
15-Feb-10|NCT00035568|
28-Jan-10|NCT00035633|
28-Jan-10|NCT00035789|
28-Jan-10|NCT00036608|
27-Feb-10|NCT00036621|
19-Aug-10|NCT00039741|19-Dec-11
3-May-12|NCT00040404|
7-Jul-11|NCT00040677|
16-Oct-09|NCT00042666|
23-Nov-09|NCT00043186|22-Dec-09
3-May-13|NCT00044213|30-Aug-13
1-Mar-11|NCT00049959|
12-Jan-11|NCT00050102|
11-Jan-11|NCT00050687|
29-Jan-10|NCT00051038|
27-Nov-12|NCT00051129|
23-Jul-09|NCT00051363|
5-Dec-11|NCT00054964|
3-Feb-10|NCT00057473|
18-Feb-11|NCT00057980|
16-Feb-11|NCT00057993|
19-May-11|NCT00058266|
12-Aug-11|NCT00060944|14-Jan-14
22-Sep-10|NCT00064701|25-Jul-13
13-Aug-10|NCT00064714|
27-Nov-12|NCT00065728|
28-Jan-10|NCT00067782|
22-Mar-12|NCT00069745|
11-Feb-10|NCT00070590|
2-Jun-11|NCT00071097|
11-Feb-10|NCT00071461|
19-Feb-14|NCT00073073|
16-Feb-11|NCT00073866|
24-Aug-09|NCT00074425|
15-Mar-13|NCT00074997|
20-Mar-09|NCT00076024|25-Feb-12
11-Feb-10|NCT00077584|
27-Aug-13|NCT00079482|
23-Jan-12|NCT00079781|6-Nov-13
12-Aug-09|NCT00080106|
3-Feb-10|NCT00080262|
17-Apr-09|NCT00081510|
4-Mar-10|NCT00084253|
16-Feb-11|NCT00084344|
24-Aug-11|NCT00086671|
18-Feb-11|NCT00086723|
28-Jan-14|NCT00087022|
22-Jan-13|NCT00087984|
27-May-10|NCT00088010|
10-Jun-09|NCT00088205|
16-Nov-09|NCT00089466|
19-Nov-09|NCT00089661|22-Dec-09
23-Nov-09|NCT00089674|2-Jul-10
23-Nov-09|NCT00089791|2-Jul-10
13-Oct-10|NCT00089999|18-Aug-14
9-Jul-09|NCT00090051|22-Dec-09
31-Jul-11|NCT00090064|
29-Oct-09|NCT00090220|30-Oct-09
7-Oct-09|NCT00090285|14-Oct-09
