NCT_ALIAS_ID|NCT_ID|NCT_ALIAS
67|NCT00010478|NCT00008905
68|NCT00010491|NCT00009074
69|NCT00010504|NCT00006338
70|NCT00010517|NCT00004534
71|NCT00010530|NCT00009087
72|NCT00010621|NCT00009334
73|NCT00010634|NCT00009347
74|NCT00010647|NCT00009113
75|NCT00010686|NCT00009360
76|NCT00010699|NCT00009373
77|NCT00010712|NCT00009386
78|NCT00010738|NCT00009399
79|NCT00010751|NCT00009412
80|NCT00010764|NCT00009139
81|NCT00010777|NCT00009152
82|NCT00010803|NCT00004535
83|NCT00019188|NCT00001508
84|NCT00019201|NCT00001511
85|NCT00019214|NCT00001558
86|NCT00019227|NCT00001514
87|NCT00019240|NCT00001559
88|NCT00019318|NCT00001578
89|NCT00019331|NCT00001581
90|NCT00019344|NCT00001585
91|NCT00019357|NCT00001583
92|NCT00019383|NCT00001684
93|NCT00019396|NCT00001687
94|NCT00019422|NCT00001690
95|NCT00019435|NCT00001691
96|NCT00019448|NCT00001692
97|NCT00019461|NCT00001682
98|NCT00019487|NCT00001694
99|NCT00019500|NCT00001700
100|NCT00019513|NCT00001706
101|NCT00019539|NCT00001707
102|NCT00019565|NCT00001709
103|NCT00019578|NCT00001791
104|NCT00019591|NCT00001794
105|NCT00019604|NCT00001795
106|NCT00019630|NCT00001798
107|NCT00019643|NCT00001796
108|NCT00019656|NCT00001799
109|NCT00019669|NCT00001800
110|NCT00019682|NCT00001801
111|NCT00019695|NCT00001802
112|NCT00019708|NCT00001804
113|NCT00019721|NCT00001808
114|NCT00019734|NCT00001811
115|NCT00019760|NCT00001809
116|NCT00019773|NCT00001817
117|NCT00019786|NCT00001820
118|NCT00019812|NCT00001819
119|NCT00019825|NCT00001824
120|NCT00019838|NCT00001822
121|NCT00019864|NCT00001821
122|NCT00019890|NCT00001825
123|NCT00019916|NCT00001828
124|NCT00019929|NCT00001829
125|NCT00019955|NCT00001834
126|NCT00019968|NCT00001831
127|NCT00019994|NCT00001833
128|NCT00020007|NCT00001939
129|NCT00020046|NCT00001942
130|NCT00020072|NCT00004546
131|NCT00020111|NCT00004548
132|NCT00020124|NCT00004636
133|NCT00020150|NCT00005019
134|NCT00020176|NCT00005568
135|NCT00020189|NCT00005670
136|NCT00020202|NCT00005656
137|NCT00020254|NCT00005759
138|NCT00020267|NCT00006074
139|NCT00020332|NCT00006277
140|NCT00020345|NCT00006288
141|NCT00020358|NCT00006287
142|NCT00020371|NCT00006317
143|NCT00020397|NCT00006491
144|NCT00020410|NCT00006197
145|NCT00020449|NCT00008879
146|NCT00020462|NCT00008996
147|NCT00020475|NCT00009516
148|NCT00020488|NCT00021515
149|NCT00020501|NCT00011427
150|NCT00020527|NCT00011219
151|NCT00020540|NCT00012532
152|NCT00020579|NCT00012571
153|NCT00020631|NCT00014924
154|NCT00021047|NCT00015743
155|NCT00021164|NCT00016640
156|NCT00021255|NCT00768092
