REMOVED_COUNTRIES_ID|COUNTRY|NCT_ID
28|United Kingdom|NCT00002633
29|United States|NCT00002633
30|Canada|NCT00002649
31|Belgium|NCT00002651
32|Italy|NCT00002651
33|Malta|NCT00002651
34|Netherlands|NCT00002651
35|Slovakia|NCT00002651
36|Switzerland|NCT00002651
37|Turkey|NCT00002651
38|United Kingdom|NCT00002651
39|United States|NCT00002651
40|South Africa|NCT00002651
41|Germany|NCT00002722
42|Netherlands|NCT00002756
43|New Zealand|NCT00002756
44|Puerto Rico|NCT00002756
45|Former Serbia and Montenegro|NCT00002763
46|Australia|NCT00002798
47|Canada|NCT00002798
48|Netherlands|NCT00002798
49|New Zealand|NCT00002798
50|Puerto Rico|NCT00002798
51|Switzerland|NCT00002798
52|Canada|NCT00002852
53|Puerto Rico|NCT00002852
54|United States|NCT00002960
55|Germany|NCT00002960
56|Canada|NCT00002968
57|Switzerland|NCT00002970
58|Canada|NCT00002970
59|Mexico|NCT00003034
60|Australia|NCT00003034
61|Canada|NCT00003034
62|New Zealand|NCT00003034
63|Brazil|NCT00003034
64|New Zealand|NCT00003096
97|Former Serbia and Montenegro|NCT00004150
98|Puerto Rico|NCT00004188
99|Australia|NCT00004188
100|Netherlands|NCT00004188
101|New Zealand|NCT00004188
102|Switzerland|NCT00004188
103|Ireland|NCT00004224
104|Denmark|NCT00004224
105|Netherlands|NCT00004228
106|New Zealand|NCT00004228
107|Canada|NCT00004259
108|South Africa|NCT00004888
109|Switzerland|NCT00004919
110|Canada|NCT00004919
111|Australia|NCT00004919
112|Australia|NCT00004931
113|Canada|NCT00004931
114|Puerto Rico|NCT00004931
115|Canada|NCT00005036
116|South Africa|NCT00005036
117|Former Serbia and Montenegro|NCT00005052
118|Former Serbia and Montenegro|NCT00005062
119|Australia|NCT00005094
120|Canada|NCT00005094
121|United Kingdom|NCT00005094
122|Australia|NCT00005576
123|Canada|NCT00005576
124|United States|NCT00005648
125|Puerto Rico|NCT00005758
126|Australia|NCT00005811
127|Canada|NCT00005811
128|Switzerland|NCT00005811
129|Netherlands|NCT00005811
130|New Zealand|NCT00005811
131|Puerto Rico|NCT00005811
132|Canada|NCT00005838
133|Puerto Rico|NCT00005838
134|Canada|NCT00005901
135|United States|NCT00005957
136|Puerto Rico|NCT00006064
137|Puerto Rico|NCT00006066
138|Puerto Rico|NCT00006094
139|Puerto Rico|NCT00006143
140|Puerto Rico|NCT00006144
141|Puerto Rico|NCT00006145
142|Canada|NCT00006226
143|Germany|NCT00006251
144|Puerto Rico|NCT00006291
145|United States|NCT00006339
146|Australia|NCT00006392
147|Canada|NCT00006392
148|Peru|NCT00006392
149|Puerto Rico|NCT00006392
150|Australia|NCT00006461
151|Canada|NCT00006461
152|Netherlands|NCT00006461
153|New Zealand|NCT00006461
154|Switzerland|NCT00006461
155|Puerto Rico|NCT00006461
156|United States|NCT00006565
157|Puerto Rico|NCT00006604
158|United States|NCT00006630
65|Switzerland|NCT00003096
66|United States|NCT00003140
67|New Zealand|NCT00003141
68|United States|NCT00003291
69|Canada|NCT00003291
70|New Zealand|NCT00003291
71|Switzerland|NCT00003291
72|Canada|NCT00003325
1|France|NCT00001355
2|Canada|NCT00001393
3|Germany|NCT00001403
4|Italy|NCT00001404
5|Japan|NCT00001404
6|Netherlands|NCT00001404
7|United Kingdom|NCT00001404
8|Spain|NCT00001404
9|United Arab Emirates|NCT00001404
10|Germany|NCT00001467
11|Sweden|NCT00001469
12|Australia|NCT00001548
13|Puerto Rico|NCT00001596
14|Pakistan|NCT00001604
15|Central African Republic|NCT00001604
16|Turkey|NCT00001606
17|Germany|NCT00001760
18|Italy|NCT00001788
19|Hungary|NCT00001852
20|United Kingdom|NCT00001987
21|United States|NCT00002404
22|United Kingdom|NCT00002514
23|Former Serbia and Montenegro|NCT00002523
24|United States|NCT00002542
25|United States|NCT00002554
26|United States|NCT00002561
27|South Africa|NCT00002561
194|Australia|NCT00003994
195|Canada|NCT00003994
196|Netherlands|NCT00003994
197|Puerto Rico|NCT00003994
198|New Zealand|NCT00003994
199|Switzerland|NCT00003994
200|United States|NCT00004031
201|Switzerland|NCT00020566
202|United Kingdom|NCT00020566
203|Canada|NCT00020709
204|Puerto Rico|NCT00021060
205|South Africa|NCT00021060
206|South Africa|NCT00021099
207|Australia|NCT00021216
208|Canada|NCT00021216
209|United States|NCT00021489
210|United States|NCT00021502
211|United States|NCT00021775
212|India|NCT00021775
213|Spain|NCT00022516
214|Sweden|NCT00022516
215|Finland|NCT00022516
216|Austria|NCT00022516
217|Canada|NCT00022516
218|New Zealand|NCT00022516
219|Russian Federation|NCT00022516
220|Singapore|NCT00022516
221|Slovenia|NCT00022516
222|United Kingdom|NCT00022516
223|Puerto Rico|NCT00022581
224|Australia|NCT00022737
225|Canada|NCT00022737
226|New Zealand|NCT00022737
227|Netherlands|NCT00022737
228|Puerto Rico|NCT00022737
229|Switzerland|NCT00022737
230|Belgium|NCT00023049
231|Australia|NCT00023998
232|Canada|NCT00023998
233|Netherlands|NCT00023998
234|Puerto Rico|NCT00023998
235|Switzerland|NCT00023998
236|New Zealand|NCT00023998
237|Peru|NCT00024154
238|Australia|NCT00025038
239|Canada|NCT00025038
240|New Zealand|NCT00025038
241|Puerto Rico|NCT00025038
242|Netherlands|NCT00025038
243|Switzerland|NCT00025038
244|Norway|NCT00025155
245|Norway|NCT00025220
246|United Kingdom|NCT00025220
247|Puerto Rico|NCT00025337
302|Puerto Rico|NCT00030394
303|Switzerland|NCT00030394
304|Netherlands|NCT00030394
305|New Zealand|NCT00030394
306|Australia|NCT00030667
307|Canada|NCT00030667
308|Netherlands|NCT00030667
309|New Zealand|NCT00030667
310|Puerto Rico|NCT00030667
311|Switzerland|NCT00030667
312|United States|NCT00030901
313|United States|NCT00031109
314|Canada|NCT00031421
315|Canada|NCT00031434
316|Norway|NCT00031629
317|United Kingdom|NCT00031629
318|Puerto Rico|NCT00032357
319|Puerto Rico|NCT00032435
320|Puerto Rico|NCT00032487
321|Puerto Rico|NCT00006760
322|Switzerland|NCT00006760
323|United States|NCT00007423
324|Hong Kong|NCT00007930
325|United States|NCT00008138
326|United States|NCT00008866
327|Puerto Rico|NCT00009555
328|France|NCT00009737
329|Croatia|NCT00009737
330|Czech Republic|NCT00009737
331|Greece|NCT00009737
332|Latvia|NCT00009737
333|Poland|NCT00009737
334|Slovakia|NCT00009737
335|Slovenia|NCT00009737
336|Sweden|NCT00009737
337|Thailand|NCT00009737
338|Uruguay|NCT00009737
339|Former Yugoslavia|NCT00009737
340|United Kingdom|NCT00009906
341|Australia|NCT00009906
342|Belgium|NCT00009906
343|Denmark|NCT00009906
344|France|NCT00009906
345|Germany|NCT00009906
346|Italy|NCT00009906
347|Netherlands|NCT00009906
348|New Zealand|NCT00009906
349|Slovakia|NCT00009906
350|Spain|NCT00009906
351|Sweden|NCT00009906
352|Switzerland|NCT00009906
353|United States|NCT00010959
354|Canada|NCT00011843
355|Puerto Rico|NCT00000625
356|Puerto Rico|NCT00000641
357|Puerto Rico|NCT00000653
358|United Kingdom|NCT00000721
359|Puerto Rico|NCT00000739
360|Puerto Rico|NCT00000758
361|Puerto Rico|NCT00000762
362|Puerto Rico|NCT00000771
363|Puerto Rico|NCT00000773
364|Puerto Rico|NCT00000774
365|Puerto Rico|NCT00000789
366|France|NCT00000794
367|Puerto Rico|NCT00000803
368|Puerto Rico|NCT00000815
369|Puerto Rico|NCT00000816
370|Puerto Rico|NCT00000827
371|Puerto Rico|NCT00000838
372|Puerto Rico|NCT00000839
373|Puerto Rico|NCT00000851
374|Puerto Rico|NCT00000854
375|Puerto Rico|NCT00000864
376|Puerto Rico|NCT00000870
377|Puerto Rico|NCT00000872
378|United States|NCT00000881
379|Puerto Rico|NCT00000881
380|Puerto Rico|NCT00000887
381|Puerto Rico|NCT00000893
382|Italy|NCT00000903
248|South Africa|NCT00025337
249|Australia|NCT00025363
250|Canada|NCT00025363
251|Puerto Rico|NCT00025363
252|Netherlands|NCT00025363
253|New Zealand|NCT00025363
254|Switzerland|NCT00025363
255|Australia|NCT00025467
256|Canada|NCT00025467
257|United Kingdom|NCT00025467
258|Canada|NCT00025506
259|Norway|NCT00025506
260|United Kingdom|NCT00025506
261|Canada|NCT00026104
262|Puerto Rico|NCT00026143
263|Canada|NCT00026182
264|Puerto Rico|NCT00026312
265|Netherlands|NCT00026312
266|Switzerland|NCT00026312
267|Puerto Rico|NCT00027339
268|United States|NCT00027612
269|Norway|NCT00027690
270|Puerto Rico|NCT00027846
271|Australia|NCT00028002
272|Peru|NCT00028002
273|Puerto Rico|NCT00028002
274|South Africa|NCT00028002
275|Australia|NCT00028509
276|Austria|NCT00028743
277|Belgium|NCT00028743
278|Italy|NCT00028743
279|Portugal|NCT00028743
280|Spain|NCT00028743
281|United Kingdom|NCT00028743
282|United States|NCT00028756
283|United Kingdom|NCT00028756
284|Austria|NCT00028756
285|Belgium|NCT00028756
286|Canada|NCT00028756
287|Denmark|NCT00028756
288|France|NCT00028756
289|Germany|NCT00028756
290|Israel|NCT00028756
291|Italy|NCT00028756
292|Netherlands|NCT00028756
293|Norway|NCT00028756
294|Poland|NCT00028756
295|Sweden|NCT00028756
296|Switzerland|NCT00028756
297|Turkey|NCT00028756
298|United States|NCT00029393
299|United States|NCT00030186
300|Australia|NCT00030394
301|Canada|NCT00030394
73|South Africa|NCT00003329
74|United States|NCT00003384
75|Japan|NCT00003384
76|Puerto Rico|NCT00003440
77|Canada|NCT00003528
78|United States|NCT00003528
79|Australia|NCT00003528
80|Netherlands|NCT00003641
81|Australia|NCT00004078
82|Canada|NCT00004078
83|Puerto Rico|NCT00004078
84|Switzerland|NCT00004078
85|Netherlands|NCT00004078
86|New Zealand|NCT00004078
87|Austria|NCT00004128
88|Belgium|NCT00004128
89|Croatia|NCT00004128
90|Czech Republic|NCT00004128
91|France|NCT00004128
92|Italy|NCT00004128
93|Netherlands|NCT00004128
94|Portugal|NCT00004128
95|Slovakia|NCT00004128
96|Turkey|NCT00004128
191|New Zealand|NCT00003958
192|Puerto Rico|NCT00003958
193|Switzerland|NCT00003958
464|United States|NCT00042939
465|Australia|NCT00042939
466|Peru|NCT00042939
467|Puerto Rico|NCT00042939
468|South Africa|NCT00042939
469|Canada|NCT00042952
470|Puerto Rico|NCT00042952
471|United States|NCT00043186
472|Italy|NCT00011986
473|United Kingdom|NCT00011986
474|Australia|NCT00012181
475|Canada|NCT00012181
476|Puerto Rico|NCT00012519
477|United States|NCT00012623
478|United States|NCT00012753
479|United States|NCT00012818
480|United States|NCT00013195
481|United States|NCT00013260
482|Puerto Rico|NCT00013520
483|Australia|NCT00013559
484|Canada|NCT00013559
485|France|NCT00013559
486|United Kingdom|NCT00013559
487|Netherlands|NCT00013611
488|Puerto Rico|NCT00013871
489|Canada|NCT00014170
490|United Kingdom|NCT00014222
491|Canada|NCT00015990
492|Canada|NCT00016107
493|Australia|NCT00016302
494|Canada|NCT00016302
495|Netherlands|NCT00016302
496|New Zealand|NCT00016302
497|Puerto Rico|NCT00016302
498|Switzerland|NCT00016302
499|Canada|NCT00016328
500|Belgium|NCT00016653
501|Israel|NCT00016653
502|Puerto Rico|NCT00016653
503|Puerto Rico|NCT00016718
504|United States|NCT00016744
505|Canada|NCT00017004
506|Norway|NCT00017004
507|United Kingdom|NCT00017004
508|Puerto Rico|NCT00017719
509|Canada|NCT00017914
510|Netherlands|NCT00018967
511|New Zealand|NCT00018967
512|Puerto Rico|NCT00018967
513|Austria|NCT00020566
514|Belgium|NCT00020566
515|Denmark|NCT00020566
516|France|NCT00020566
517|Germany|NCT00020566
518|Ireland|NCT00020566
519|Netherlands|NCT00020566
520|Portugal|NCT00020566
521|Puerto Rico|NCT00032591
522|United States|NCT00032734
523|Canada|NCT00032734
524|Canada|NCT00033254
525|Netherlands|NCT00033293
526|New Zealand|NCT00033293
527|Puerto Rico|NCT00033293
528|Switzerland|NCT00033293
529|United Kingdom|NCT00033371
530|United States|NCT00033605
531|Canada|NCT00033605
532|Australia|NCT00033618
533|Peru|NCT00033618
534|Puerto Rico|NCT00033618
535|South Africa|NCT00033618
536|Russian Federation|NCT00034177
537|United States|NCT00034346
538|United States|NCT00034515
539|United States|NCT00034632
540|Argentina|NCT00034632
541|Australia|NCT00034632
542|Austria|NCT00034632
543|Belgium|NCT00034632
544|Canada|NCT00034632
545|Colombia|NCT00034632
546|Costa Rica|NCT00034632
547|Denmark|NCT00034632
548|France|NCT00034632
549|Germany|NCT00034632
550|Greece|NCT00034632
551|Italy|NCT00034632
552|Mexico|NCT00034632
553|Peru|NCT00034632
554|Poland|NCT00034632
555|Puerto Rico|NCT00034632
556|Saudi Arabia|NCT00034632
557|Spain|NCT00034632
558|Sweden|NCT00034632
559|Switzerland|NCT00034632
560|Brazil|NCT00034632
561|Israel|NCT00034632
562|Netherlands|NCT00034632
563|South Africa|NCT00034632
564|United Kingdom|NCT00034632
565|Finland|NCT00034632
566|Romania|NCT00034632
567|Slovenia|NCT00034632
568|United States|NCT00034645
569|Argentina|NCT00034645
570|Australia|NCT00034645
571|Austria|NCT00034645
383|Puerto Rico|NCT00000903
384|Puerto Rico|NCT00000910
385|Puerto Rico|NCT00000940
386|Puerto Rico|NCT00000944
387|Puerto Rico|NCT00000963
388|Puerto Rico|NCT00000967
389|Puerto Rico|NCT00001027
390|Puerto Rico|NCT00001029
391|Canada|NCT00001032
392|Puerto Rico|NCT00001032
393|United States|NCT00001046
394|Puerto Rico|NCT00001063
