RSLTS_BASELINE_ID|NCT_ID|POPULATION
113|NCT00055237|
114|NCT00055471|
115|NCT00055497|
116|NCT00056160|
117|NCT00056316|
118|NCT00056407|
119|NCT00056472|
120|NCT00056498|
121|NCT00056550|
122|NCT00056563|
123|NCT00056862|
124|NCT00057330|
125|NCT00057681|
126|NCT00057811|
127|NCT00057837|
128|NCT00057876|
129|NCT00057941|
130|NCT00057954|
131|NCT00058019|
132|NCT00059215|
133|NCT00059475|
134|NCT00059839|
135|NCT00060008|
136|NCT00060346|
137|NCT00060528|
138|NCT00060840|
139|NCT00060944|
140|NCT00061048|
141|NCT00061373|
142|NCT00061633|
143|NCT00061893|
144|NCT00061945|
145|NCT00062010|
146|NCT00062439|
147|NCT00062647|
1|NCT00068419|
2|NCT00068575|
3|NCT00068822|
4|NCT00069121|
5|NCT00069160|
6|NCT00069264|
7|NCT00069277|
8|NCT00069784|
9|NCT00069823|
10|NCT00070018|
11|NCT00070109|
12|NCT00000371|
13|NCT00000479|
14|NCT00000575|
15|NCT00000620|
16|NCT00001151|
17|NCT00001213|
18|NCT00001566|
19|NCT00001586|
20|NCT00001596|
21|NCT00001656|
22|NCT00001703|
23|NCT00001723|
24|NCT00001832|
25|NCT00001941|
26|NCT00001959|
27|NCT00001984|
28|NCT00002540|
29|NCT00002975|Treated Patients
30|NCT00003138|All patients with complete data are included.
31|NCT00003377|
32|NCT00003590|
33|NCT00003659|
34|NCT00003782|
35|NCT00003869|
36|NCT00003896|
37|NCT00003907|
38|NCT00003910|
39|NCT00038103|
40|NCT00038467|Intent-to-treat (ITT) population included all participants assigned to the treatment group to which they were randomized, irrespective of the treatment they actually received.
41|NCT00038857|
42|NCT00038948|
43|NCT00039377|
44|NCT00039741|
45|NCT00039871|
46|NCT00040365|
47|NCT00040664|
48|NCT00040937|
49|NCT00041067|
50|NCT00041080|Description of population is based on eligible patients.
1 patient not included in characteristics due to ineligible primary tumor site.
51|NCT00041132|
52|NCT00041392|
53|NCT00041717|
54|NCT00041756|
55|NCT00041938|
56|NCT00042432|
57|NCT00042939|
58|NCT00042991|
59|NCT00043186|
60|NCT00043979|
61|NCT00044005|
62|NCT00044044|
63|NCT00044213|
64|NCT00044512|
65|NCT00044655|
66|NCT00045162|Eleven ineligible patients  on the cisplatin + irinotecan arm, and eight ineligible patients on the cisplatin + etoposide arm were excluded from the analysis.
67|NCT00045487|
68|NCT00045630|
89|NCT00049842|
90|NCT00050011|
91|NCT00050089|HIV-positive patients with a CD4 count <=300 cells/ul who had prior anti-retroviral treatment failure requiring retreatment
92|NCT00050167|
93|NCT00050778|
94|NCT00050960|
95|NCT00050986|
96|NCT00051025|
97|NCT00051168|
98|NCT00051558|
99|NCT00051636|
100|NCT00052962|
101|NCT00053014|
102|NCT00053365|This is the number of eligible and evaluable participants.
103|NCT00053417|
104|NCT00053482|
105|NCT00053495|
106|NCT00053703|We are referring to the population of participants who had baseline assessment, took at least one dose of trial medication, and had at least one post-baseline assessment.  There were 3 randomized subjects, on in each treatment group, who did not take at least one dose of study medication and are not included.
107|NCT00054275|
108|NCT00054327|
109|NCT00054639|
110|NCT00054665|
111|NCT00054717|Safety Set, all patients treated with at least one dose of study drug
112|NCT00054847|
362|NCT00031447|
363|NCT00031460|
364|NCT00031486|
365|NCT00032487|
366|NCT00032591|3745 participants were screened for participation
367|NCT00032630|
368|NCT00033540|
369|NCT00033657|
370|NCT00033917|
371|NCT00035555|Baseline characteristics are provided for all patients who were randomized and received transplants; participant flow is provided for all randomized participants who received treatment.
372|NCT00035815|
373|NCT00035932|
374|NCT00036270|
375|NCT00036569|
376|NCT00037830|
377|NCT00099983|Valid diagnostic baseline data were collected on 267 patients randomized to receive risperidone (n=133) and placebo (n=134).  The 29 patients with "missing source documents" as reported in Participant Flow were not included in any analyses.
378|NCT00100048|
379|NCT00100659|
380|NCT00100698|
381|NCT00100789|
382|NCT00100932|
383|NCT00101101|All participants who started the study.
384|NCT00101166|
148|NCT00062738|
149|NCT00062751|
150|NCT00062764|
151|NCT00063232|
152|NCT00063258|
153|NCT00063362|
154|NCT00063570|
155|NCT00063622|
156|NCT00063635|
157|NCT00063934|
158|NCT00063986|
159|NCT00064025|
160|NCT00064038|
161|NCT00064350|
162|NCT00064662|
163|NCT00064701|Full analysis set; all randomized patients who received at least one dose of study drug.
164|NCT00064792|
165|NCT00064844|
166|NCT00065156|
167|NCT00065429|
168|NCT00065442|
169|NCT00065468|
170|NCT00065507|
171|NCT00065611|
172|NCT00065806|
173|NCT00066066|
174|NCT00066170|
175|NCT00066469|
228|NCT00113516|
229|NCT00113529|
230|NCT00113568|
231|NCT00113607|
232|NCT00113763|
233|NCT00113841|
234|NCT00113880|
235|NCT00113919|
236|NCT00114101|
237|NCT00114127|
238|NCT00114166|Total number eligible and evaluable participants from Regimen I and Regimen II
239|NCT00070291|
240|NCT00070499|
241|NCT00071006|
