RESULTS_OUTCOME_ANAL_GRP_ID|RESULTS_OUTCOME_ANALYSIS_ID|ARM_GROUP_ID
84|49|530417
85|50|530417
86|51|532052
87|52|529078
88|53|540719
89|51|538307
90|52|538307
91|53|538307
92|54|538846
93|55|540217
94|56|536671
95|54|538332
96|55|538332
97|56|538332
98|57|531849
99|58|528314
100|59|529420
101|57|530495
102|58|530495
103|59|530495
104|60|555912
105|60|553820
106|61|554672
107|61|557096
108|62|561713
109|62|566470
110|63|564095
111|64|564095
112|65|564095
113|66|564095
114|67|564095
115|68|564095
116|69|564095
117|70|564095
118|71|564095
119|72|564095
120|63|574265
121|64|574265
122|65|574265
123|66|574265
124|67|574265
125|68|574265
126|69|574265
127|70|574265
128|71|574265
129|72|574265
130|73|573265
131|73|571189
132|74|572806
133|74|566691
134|75|606046
135|75|608772
136|76|609573
137|76|607199
138|77|608566
139|77|579639
140|78|580992
141|78|582628
142|79|577652
143|80|578178
144|81|575479
145|82|410007
1|101|475594
2|102|473180
3|102|475111
4|103|498537
5|103|499612
6|104|505229
7|104|502867
8|105|505053
9|105|479690
10|106|478991
11|106|480861
12|107|481966
13|107|479857
14|108|511668
15|108|513247
16|89|405539
17|89|406919
18|90|413510
19|90|418520
20|91|420148
21|91|417782
22|92|415472
23|92|410185
24|1|412099
25|1|409473
26|2|411906
27|2|413252
28|3|443639
29|3|444440
30|4|450097
31|4|447167
32|5|441618
33|5|438956
34|6|440324
35|6|441946
36|7|439593
37|7|448621
38|31|475258
59|39|490485
60|40|493207
61|41|493207
62|40|491102
63|41|491102
64|40|523038
65|41|523038
66|40|517796
67|41|517796
68|42|519427
69|43|516774
70|44|518967
71|42|520325
72|43|520325
73|44|520325
74|45|494694
75|46|491146
76|47|493610
77|45|491227
78|46|491227
79|47|491227
80|48|495406
81|49|531729
82|50|529010
83|48|530417
151|85|418984
152|85|420918
153|86|424358
154|86|423362
155|87|453913
156|87|430517
157|88|428154
158|88|425543
159|235|427431
160|235|433558
161|236|427753
162|236|429655
163|237|426225
164|238|426225
165|237|428360
166|238|428360
167|239|422371
168|239|424533
169|93|433760
170|93|436793
171|94|434428
172|94|436326
173|95|437687
174|95|469114
175|96|447349
176|96|453541
177|97|455162
178|97|452012
179|98|457992
180|98|459653
181|99|463838
182|99|464676
183|100|475262
184|100|472853
185|101|473680
186|253|556375
187|254|556375
188|255|556375
189|256|556375
190|257|556375
191|258|556375
192|259|556375
193|260|556375
194|258|557989
195|257|588660
196|260|558274
197|259|559648
198|256|561532
199|255|559714
277|122|402799
278|123|404137
279|122|401505
280|123|401505
281|124|395332
282|124|392621
283|125|399411
284|126|399411
285|125|396745
