PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
50|NCT00004228|Overall Study||
51|NCT00004500|Overall Study|Recruitment occurred between March 2000 and October 2002. Infants were enrolled from neonatal intensive care units and were randomized to open-label study treatment.|
52|NCT00004547|Overall Study|A total accrual of 203 was expected within approximately 5-6 years (59 patients for adenocarcinoma of gastrointestinal origin, other than low grade mucinous; 48 patients with low grade mucinous adenocarcinoma; and 96 patients with primary peritoneal mesothelioma).|
53|NCT00004562|Overall Study|The primary analysis of the trial included 2166 patients who had been enrolled through December 2005 with an average follow-up of 2.9 years. An additional 35 patients were enrolled through June 2006 during an extended period of enrollment in the nuclear viability ancillary study. All 2201 patients are included here.|
54|NCT00004635|Period One|With nine institutions participating (NCI intramural, Columbia in NY, LSU in New Orleans, Wayne State Univ., Univ. of Washington, Univ. of Minnesota, Univ. of Pittsburgh, Holy Cross and Portsmouth Naval Hosp.)it is expected that 16 pts per mo (190 per year) can be entered onto the trial with an estimated completion of accrual expected in 18 months.|While patients are crossed-over to the other therapy, because the time until crossover is dependent on time until progression, this differs from a classic crossover study in which patients are followed on both arms for a fixed period of time, evaluated, given a wash-out period, and then followed identically on the other agent.
55|NCT00004635|Period Two|With nine institutions participating (NCI intramural, Columbia in NY, LSU in New Orleans, Wayne State Univ., Univ. of Washington, Univ. of Minnesota, Univ. of Pittsburgh, Holy Cross and Portsmouth Naval Hosp.)it is expected that 16 pts per mo (190 per year) can be entered onto the trial with an estimated completion of accrual expected in 18 months.|While patients are crossed-over to the other therapy, because the time until crossover is dependent on time until progression, this differs from a classic crossover study in which patients are followed on both arms for a fixed period of time, evaluated, given a wash-out period, and then followed identically on the other agent.
56|NCT00004732|Overall Study||
57|NCT00004859|Overall Study|The study was activated on January 27, 2000, and was terminated on October 26, 2006. 589 patients were enrolled to the study.|
58|NCT00004888|Overall Study|The study was activated on Oct 19, 2000 and closed on Sept 7, 2004. Accrual to Arm II was suspended on April 23, 2002 for a pre-planned interim analysis regarding cardiac safety and resumed on Nov 6, 2002. Study participants all came from ECOG institutions.|Entry on the study requires determination by the Eastern Cooperative Group Pathology Coordinating Office of HER2 expression status in primary breast tissue or site of metastasis. Patients with PS 2 were excluded from further enrollment in both arms as they were found to experience more severe toxicities and more frequent dose reductions.
59|NCT00004978|Overall Study|Patients were enrolled to ESPRIT between 2000 and 2003.  As per the ESPRIT protocol, patients from previous Vanguard studies (in Thailand, Argentina, and the U.S., enrolled 1997-1999) were followed and included in the analysis cohort of this study if at least 90% of patients from that site consented to ESPRIT.|
60|NCT00004980|Overall Study||
25|NCT00027378|Overall Study|This study was conducted at the Western Psychiatric Institute and Clinic (WPIC) of the University of Pittsburgh Medical Center (UPMC).  Subjects were recruited for participation in the treatment study through referrals from any of the WPIC treatment programs and by responding to newspaper, radio and bus advertisements.|Exclusion:  bipolar disorder, schizoaffective disorder, schizophrenia, hyper-or hypothyroidism, cardiac, neurological, renal impairment, significant liver disease, received antipsychotic or antidepressant medication, substance abuse or dependence, intravenous drug use, pregnancy, inability or unwillingness to use contraceptive methods, illiteracy.
26|NCT00027560|Overall Study|Protocol Open to Accrual 07/31/2001 Protocol Closed to Accrual 05/23/2006 Primary Completion Date 04/14/2009 Recruitment Location is medical clinic|Enrolled participants receive preparative cytoreduction prior to transplant.
27|NCT00028002|Overall Study||
28|NCT00028093|Overall Study||
29|NCT00028769|Overall Study||
30|NCT00029107|Overall Study|Between June 2002 and April 2010, a total of 24 patients were enrolled in the study. Twelve patients randomized to the rituximab group and 12 patients to the control group.|A total of 47 patients were screened for randomization into this study. Eighteen patients did not meet one or more of the above eligibility criteria. Five eligible patients elected not to enroll in the study because of concerns about potential rituximab toxicity.  The remaining 24 patients were enrolled in the study and underwent randomization
31|NCT00029146|Overall Study||
32|NCT00029172|Overall Study|Subjects were recruited from 4  Indianapolis based hospitals. Depression enrollment and screening occurred between 1 and 2 months post stroke.|
33|NCT00030901|Initial Registration||
34|NCT00030901|Randomization||
35|NCT00030992|Overall Study|102 participants were enrolled in this study.|
36|NCT00000371|Overall Study|Subjects were adult outpatients recruited from three urban community health centers and two Veteran's Affairs medical centers in the greater Boston area.  All eligible participants at these sites were invited to participate by their clinicians.|Sixty subjects met eligibility criteria and provided informed consent, but just 55 completed baseline assessments and were randomized to d-cycloserine or placebo.
37|NCT00000479|Overall Study||
38|NCT00003138|Step 4 (EPO 300 Units/kg and G-CSF)|This study was activated on December 9, 1997 and closed on June 1, 2004. A total of 118 patients were enrolled (110 ECOG patients and 8 Canadian Leukemia Study Group [CLSG] patients).|
39|NCT00003377|Period I|In Period I 12 patients were treated with weekly cisplatin(30-40 mg/m2) and paclitaxel(30-50 mg/m2) concurrent with extended field radiation. In Period II an additional 17 patients were treated with cisplatin 40 mg/m2 and paclitaxel 40 mg/m2 concurrent with radiation.|All patients received whole pelvic and extended field radiation  at 150 centigray per day for 30 days to the para-aortics, and 180 centigray per day for 25 days to the pelvis.
61|NCT00005669|Overall Study|We recruited subjects from 2000 through 2008.  Obese children (BMI 95th percentile or greater), aged 6-12y, were recruited through newspaper advertisements and letters to physicians, and were eligible if they had fasting hyperinsulinemia, (insulin at least 15mU/mL. Following an outpatient screen, participants were admitted for assessments.|Children were excluded if they had impaired fasting glucose or were diabetic, had significant renal, hepatic, cardiac or pulmonary disease, or presence of other endocrinologic disorders leading to obesity, had used prescription or non-prescription weight loss agents, or reported >2% body weight loss in the preceding 6 months.
62|NCT00005906|Overall Study||
63|NCT00005908|Overall Study||
64|NCT00005947|Overall Study|Participants were randomized between January 2000 and September 2004 across 16 clinical trial sites.|Participants were screened for evaluation of subject eligibility and performance of baseline tests/procedures.
65|NCT00006011|Overall Study|All patients were initially registered and initiated radiation treatment.  Following succsessful completion of radiation treatment, participants with no evidence of disease received a random treatment allocation.|
66|NCT00006151|Overall Study|Participants were recruited to a university based center for the study of addictions in 2002.|The study used a real world design meaning that participants were randomized on the same day as their study eligibility evaluation.
67|NCT00006156|Overall Study||
68|NCT00006164|Overall Study||
69|NCT00006170|Overall Study|Women were recruited between September 1999 and October 2005.|Potential participants were excluded for current MDD, suicidality, drug or alcohol dependence within the past year, psychotic disorders, conditions associated with lowered seizure threshold, use of medications contraindicated with bupropion, uncontrolled hypertension, recent use of bupropion, pregnancy or use of other smoking or weight treatments.
70|NCT00006178|Overall Study||
71|NCT00006184|Overall Study||
72|NCT00006237|Overall Study||
73|NCT00006305|Overall Study|A total of 2,368 patients were enrolled at 49 clinical centers from United States, Canada, Brazil, Mexico, Czech Republic, and Austria between January 1, 2001 and March 31, 2005.  Each of the 2368 patients was simultaneously assigned to initial revascularization or medical therapy and assigned to insulin providing or insulin sensitizing therapy.|
74|NCT00006392|Overall Study|Men were randomized at 427 study sites in the US, Puerto Rico and Canada between August 22, 2001 and June 24, 2004.|Prior to randomization, there was a three month formal pre-randomization period with no placebo run-in capsules to give potential participants to decide if they would agree to stop disallowed over-the-counter supplements of selenium or vitamin E.  By returning for randomization, they exhibited their willingness to adhere to the trial.
75|NCT00006409|Baseline||
76|NCT00006409|Post-2 Year Intervention||
77|NCT00006409|Post-3 Year Intervention||
78|NCT00006478|Overall Study||
79|NCT00006721|Overall Study||
80|NCT00006903|Overall Study||
81|NCT00006916|Overall Study||
1|NCT00013611|Overall Study|1971 participants were randomized at 139 sites in 11 countries.  The first randomization was on 30 April 1999 and the last randomization was on 28 September 2002.  Sites who re-consented 2/3 or more of their participants to Version 3 of the protocol were included in the analysis cohort.  There are 1695 participants in the analysis cohort.|
2|NCT00014560|Overall Study||
3|NCT00014911|Overall Study|Nine centers recruited participants 18 to 65 years of age who had Type 1 diabetes mellitus for more than five years, recurrent neuroglycopenia that included reduced awareness of their hypoglycemic episodes or severe glycemic lability, and fulfilled all eligibility criteria. Refer to the Eligibility section for more details.|
4|NCT00015457|First Intervention|Patients recruited from a medical clinic providing botulinum toxin treatment for cervical dystonia.  Patients recruited between 6/21/01 and 10/19/06|Patients were excluded if response to previous btx injections were not stable, serious medical conditions, pregnancy, abnormal medical screening
5|NCT00015457|Second Intervention|Patients recruited from a medical clinic providing botulinum toxin treatment for cervical dystonia.  Patients recruited between 6/21/01 and 10/19/06|Patients were excluded if response to previous btx injections were not stable, serious medical conditions, pregnancy, abnormal medical screening
6|NCT00015847|Overall Study||
7|NCT00016354|Overall Study|Nineteen patients were enrolled between August 2001 and July 2004 at Johns Hopkins.|Patients were excluded if they had known brain metastases, active infections, chronic diarrhoea, malabsorption, peripheral neuropathy >grade 1 (NCI CTC v2), pregnancy, HIV infection, or serious concurrent medical conditions.
8|NCT00017563|Overall Study||
9|NCT00019604|Overall Study||
10|NCT00019747|Overall Study||
11|NCT00021229|Overall Study|Participants from PBTC member institutions were enrolled on the phase I component between 09May2001 and 28MAY2004 (stratum I), 15AUG2003 (stratum IIA), and 15AUG2004 (stratum IIB). The phase II component of the study opened on 28MAY2004 and was terminated on 13APR2005 due to poor accrual.|The intent of the phase I part of the study was to estimate the maximum tolerated dose (MTD) independently in stratum I, in stratum IIA, and in stratum IIB.  The estimated MTD from stratum I was the recommended dose for the phase II part.  Phase I participants in stratum I who received study drug at the MTD contributed to the phase II objectives.
12|NCT00021541|Period 1-First Treatment||
13|NCT00021541|Period 2-crossover||
14|NCT00022490|Overall Study||
15|NCT00022672|Main Phase: 24 Months||208 participants were randomized. 1 participant did not receive study drug. After the completion of the 24 month Main Phase or disease progression, participants in the anastrozole-alone treatment arm entered the Extension Phase where they received trastuzumab + anastrozole.
16|NCT00022672|Extension Phase||208 participants were randomized. 1 participant did not receive study drug. After the completion of the 24 month Main Phase or disease progression, participants in the anastrozole-alone treatment arm entered the Extension Phase where they received trastuzumab + anastrozole.
17|NCT00023309|Overall Study|Forty-one patients were enrolled, twenty-two were randomized to receive the combination lamivudine and adefovir and nineteen to receive adefovir alone.|
18|NCT00023322|Overall Study|Between October 2002 and June 2006, 13 patients were recruited into the study. The location is NIH clinical center.|
19|NCT00023452|Overall Study||The protocol design allowed enrollment of participants identified as members of the same household or group setting (such as group homes, settings) in clusters. The same treatment regimen to which a first participant was randomized could be assigned to other cluster members. All other participants enrolled were randomized individually.
20|NCT00023673|Overall Study||
21|NCT00023712|Overall Study|Accrual was broken down into two cohorts. Cohort 1 enrolled 28 participants from 11/5/2001 through 1/6/2003. Cohort 2 enrolled 30 participants from 4/5/2004 through 9/6/2005.|
22|NCT00023764|Overall Study|Protocol Open to Accrual 06/21/2001 Protocol Closed to Accrual 03/11/2008 Primary Completion Date 03/10/2009 Recruitment Location is the medical clinic|
23|NCT00024102|Overall Study|This was an intergroup study led by the CALGB. Between September 2001 and December 2006, 633 participants were recruited.|All participants recruited were randomized with equal probability to one of two treatment arms. Randomization was initially stratified by age and performance score. In 2006 tumoral HER2 status was added as a third stratification factor.
24|NCT00025662|Overall Study|Recruitment dates: 9/21/01 to 11/14/05 Location: Quarternary referral institute|2 enrolled patients were not transplanted: one, because of donor refusal and the other because she was transplanted elsewhere
140|NCT00038948|Overall Study|Patients were recruited worldwide from January 2002 to September 2003.|Patients were screened for two weeks.
141|NCT00039377|Initial Registration|58 participants were recruited.|One participant was deemed ineligible and is excluded from all analyses per study design.
142|NCT00039377|Course 5 (Transplant Assignments)|58 participants were recruited.|One participant was deemed ineligible and is excluded from all analyses per study design.
