SEC_ID|NCT_ID|SECONDARY_ID
29|NCT00000260|R01DA008391
30|NCT00000260|R01-08391-12
31|NCT00000261|R01DA008391
32|NCT00000261|R01-08391-13
33|NCT00000262|R01DA008391
34|NCT00000262|R01-08391-14
35|NCT00000263|R01DA008391
36|NCT00000263|R01-08391-15
37|NCT00000264|R01DA008391
38|NCT00000264|R01-08391-16
39|NCT00000265|R01DA008391
40|NCT00000265|R01-08391-17
41|NCT00000266|P50-09236-1
42|NCT00000267|P50-09236-2
43|NCT00000268|P50-09236-3
44|NCT00000269|P50-09236-4
45|NCT00000270|P50-09236-5
46|NCT00000271|P50-09236-6
47|NCT00000272|P50-09236-7
48|NCT00000273|5P50DA009236-18
49|NCT00000273|P50 DA009236-08
50|NCT00000274|P50-09236-9
51|NCT00000275|P50-09236-10
52|NCT00000276|P50DA009250
53|NCT00000276|P50-09250-1
54|NCT00000277|P50DA009250
55|NCT00000277|P50-09250-2
56|NCT00000278|P50DA009250
57|NCT00000278|P50-09250-3
58|NCT00000279|P50DA009250
59|NCT00000279|P50-09250-4
60|NCT00000280|P50DA009250
61|NCT00000280|P50-09250-5
62|NCT00000281|P50DA009250
63|NCT00000281|P50-09250-6
64|NCT00000282|P50DA009250
97|NCT00000312|R01-09468-1
98|NCT00000313|R01-09468-2
99|NCT00000314|R01-09468-3
100|NCT00000315|R01-09482-1
101|NCT00000316|R01-09482-2
102|NCT00000317|R01DA009582
103|NCT00000317|R01-09582-1
104|NCT00000318|R01-09803-1
105|NCT00000319|R01-09803-2
106|NCT00000320|R01-10068-1
107|NCT00000321|R01-10643-1
108|NCT00000322|R01-10739-1
109|NCT00000323|R01-10753-1
110|NCT00000324|R01-10754-1
111|NCT00000325|R01-10757-1
112|NCT00000326|1R01DA011160
113|NCT00000326|R01-11160-1
114|NCT00000327|R01DA011160
115|NCT00000327|R01-11160-2
116|NCT00000328|1R01DA011160
117|NCT00000328|R01-11160-3
118|NCT00000329|R01DA011160
119|NCT00000329|R01-11160-4
120|NCT00000330|R01DA011160
121|NCT00000330|R01-11160-5
122|NCT00000331|R01DA011160
123|NCT00000331|R01-11160-6
124|NCT00000332|Y01-3-0009-1
125|NCT00000333|Y01-3-0009-2
126|NCT00000334|Y01-3-0009-3
127|NCT00000335|Y01-3-0009-4
128|NCT00000336|Y01-3-0010-1
129|NCT00000337|Y01-3-0010-2
130|NCT00000338|Y01-3-0010-3
131|NCT00000339|Y01-3-0010-4
132|NCT00000340|Y01-3-0010-5
133|NCT00000341|Y01-3-0010-6
134|NCT00000342|Y01-3-0010-7
135|NCT00000343|Y01-3-0010-8
136|NCT00000344|Y01-3-0010-9
137|NCT00000345|Y01-3-0010-10
138|NCT00000346|Y01-3-0010-11
139|NCT00000347|Y01-3-0010-12
140|NCT00000348|Y01-3-0010-13
141|NCT00000349|Y01-3-0010-14
142|NCT00000350|Y01-3-0010-15
143|NCT00000352|Y01-3-0012-1
144|NCT00000353|Y01-3-0012-2
145|NCT00000354|Y01-3-0012-3
146|NCT00000355|Y01-3-0012-4
147|NCT00000356|Y01-3-0012-5
148|NCT00000357|Y01-3-0012-6
149|NCT00000358|Y01-3-0012-7
150|NCT00000359|R01DC003602
151|NCT00000359|1R01DC003602-01A1
152|NCT00000361|UO1 DC 03209
153|NCT00000362|Protocol 201
154|NCT00000362|UO1 DC 03206
155|NCT00000363|RO1 DC 02620-04
156|NCT00000367|R01MH059366
157|NCT00000367|DSIR AT-P
158|NCT00000368|R01MH045964
159|NCT00000368|R01MH045965
160|NCT00000368|R01MH045966
65|NCT00000282|P50-09250-7
66|NCT00000284|P50-09259-1
67|NCT00000285|P50-09259-2
68|NCT00000286|P50-09259-3
69|NCT00000287|P50-09259-4
70|NCT00000288|P50-09259-5
71|NCT00000289|P50-09259-6
72|NCT00000290|P50-09259-7
73|NCT00000291|P50-09259-8
74|NCT00000292|P50-09259-9
75|NCT00000293|P50-09259-10
1|NCT00000244|R01DA008067
2|NCT00000244|R01-08067-1
3|NCT00000245|R01-08082-1
4|NCT00000246|R01-08265-1
5|NCT00000248|R01DA008355
6|NCT00000248|R01-08355-1
7|NCT00000249|R01DA008391
8|NCT00000249|R01-08391-1
9|NCT00000250|R01DA008391
10|NCT00000250|R01-08391-2
11|NCT00000251|R01DA008391
12|NCT00000251|R01-08391-3
13|NCT00000252|R01DA008391
14|NCT00000252|R01-08391-4
15|NCT00000253|R01DA008391
16|NCT00000253|R01-08391-5
17|NCT00000254|R01DA008391
18|NCT00000254|R01-08391-6
19|NCT00000255|R01DA008391
20|NCT00000255|R01-08391-7
21|NCT00000256|R01DA008391
22|NCT00000256|R01-08391-8
23|NCT00000257|R01DA008391
24|NCT00000257|R01-08391-9
25|NCT00000258|R01DA008391
26|NCT00000258|R01-08391-10
27|NCT00000259|R01DA008391
28|NCT00000259|R01-08391-11
200|NCT00000243|DPMC
201|NCT00000572|R01HL036787
202|NCT00000575|5U01HL075417
203|NCT00000577|U10 HL51823
204|NCT00000577|U10 HL51831
205|NCT00000577|U10 HL51834
206|NCT00000577|U10 HL51843
207|NCT00000577|U10 HL51845
208|NCT00000577|U10 HL56443
209|NCT00000577|U10 HL74073
210|NCT00000577|U10 HL74204
211|NCT00000577|U10 HL74206
212|NCT00000577|U10 HL74208
213|NCT00000577|U10 HL74212
214|NCT00000577|U10 HL74218
215|NCT00000577|U10 HL74225
216|NCT00000577|U10 HL74227
217|NCT00000577|U10 HL74231
218|NCT00000577|Y02 HL51810
219|NCT00000579|N01 HR16146
220|NCT00000579|N01 HR16147
221|NCT00000579|N01 HR16148
222|NCT00000579|N01 HR16149
223|NCT00000579|N01 HR16150
224|NCT00000579|N01 HR16151
225|NCT00000579|N01 HR16152
226|NCT00000579|N01 HR16153
227|NCT00000579|N01 HR16154
228|NCT00000579|N01 HR16155
229|NCT00000579|N01 HR46054
230|NCT00000579|N01 HR46055
231|NCT00000579|N01 HR46056
232|NCT00000579|N01 HR46057
233|NCT00000579|N01 HR46058
234|NCT00000579|N01 HR46059
235|NCT00000579|N01 HR46060
236|NCT00000579|N01 HR46061
237|NCT00000579|N01 HR46062
238|NCT00000579|N01 HR46063
239|NCT00000579|N01 HR46064
240|NCT00000579|N01 HR56165
241|NCT00000368|R01MH045963
242|NCT00000368|DSIR AT-CT
243|NCT00000369|DSIR AT-CT
244|NCT00000370|R29MH057326
245|NCT00000370|DSIR AT-AS
246|NCT00000372|DSIR
247|NCT00000373|R01MH045802
248|NCT00000374|R01MH060004-01
249|NCT00000374|DSIR 83-ATAP
250|NCT00000376|R21MH052737
251|NCT00000376|DSIR
252|NCT00000377|R01MH043832
253|NCT00000377|DSIR AT-CT
254|NCT00000378|DSIR AT-GP
255|NCT00000379|R01MH058363
311|NCT00000196|K20DA000191
312|NCT00000196|K20-00191-5
313|NCT00000197|K20DA000238
314|NCT00000198|K20DA000238
315|NCT00000198|K02-00238-3
316|NCT00000199|K20DA000238
317|NCT00000199|K02-00238-4
318|NCT00000200|R01-03818-1
319|NCT00000201|R01-05196-1
320|NCT00000202|R01DA005626
321|NCT00000202|R01-05626-1
322|NCT00000203|R01DA005626
323|NCT00000203|R01-05626-2
324|NCT00000204|R01DA005626
325|NCT00000204|R01-05626-3
326|NCT00000205|R18-06082-1
327|NCT00000206|R18-06082-2
328|NCT00000207|R18-06082-3
329|NCT00000208|R18-06082-4
330|NCT00000209|R18-06082-5
331|NCT00000810|11237
332|NCT00000811|PACTG 254
333|NCT00000811|11231
334|NCT00000812|42,240
335|NCT00000812|11243
336|NCT00000813|AVEG 012B
337|NCT00000813|10557
338|NCT00000814|11222
339|NCT00000815|11202
340|NCT00000816|11244
341|NCT00000817|11572
342|NCT00000819|11247
343|NCT00000820|11225
344|NCT00000821|IL-2 SC
345|NCT00000821|93-I-0205
346|NCT00000822|11223
347|NCT00000822|11499
348|NCT00000823|11252
349|NCT00000825|10466
350|NCT00000825|SQIL-2
351|NCT00000825|SQIL-2 Houston
352|NCT00000826|11259
353|NCT00000827|11249
354|NCT00000829|11268
355|NCT00000831|11277
356|NCT00000832|10575
357|NCT00000833|11250
358|NCT00000834|11742
359|NCT00000835|11541
360|NCT00000837|10613
361|NCT00000837|ACTG 265
362|NCT00000838|11281
363|NCT00000839|11226
364|NCT00000841|11294
365|NCT00000842|11267
366|NCT00000844|11727
367|NCT00000847|10573
368|NCT00000848|11305
369|NCT00000849|11275
370|NCT00000849|PACTG 299
371|NCT00000850|AACTG A5041
372|NCT00000850|10887
373|NCT00000850|ACTG A5041
374|NCT00000851|11300
375|NCT00000853|10566
376|NCT00000854|11301
377|NCT00000855|11303
378|NCT00000856|11280
379|NCT00000857|11299
380|NCT00000859|11592
381|NCT00000861|11591
382|NCT00000862|11298
383|NCT00000862|PACTG 324
384|NCT00000863|11289
385|NCT00000864|11295
386|NCT00000864|PACTG 321
387|NCT00000865|11302
388|NCT00000866|10562
389|NCT00000867|DAIDS-ES ID 10687
390|NCT00000868|10578
391|NCT00000869|11290
392|NCT00000388|MH50447
393|NCT00000388|MH50454
394|NCT00000388|MH50461
256|NCT00000379|DSIR AT-CT
257|NCT00000380|R01MH053575
258|NCT00000380|DSIR
259|NCT00000381|R01MH053681
260|NCT00000381|DSIR
261|NCT00000382|R01MH054643
262|NCT00000382|DSIR CT-P
263|NCT00000383|R10MH055963
264|NCT00000383|R10 MH56224
265|NCT00000383|DSIR CT-S
266|NCT00000384|R10 MH55121
267|NCT00000384|DSIR 84-CTM
268|NCT00000385|R29MH057093
269|NCT00000385|DSIR CT-M
270|NCT00000386|DSIR CT-S
271|NCT00000387|DSIR CT-S
272|NCT00000388|U01MH050453
273|NCT00000102|M01RR01070
274|NCT00000104|M01RR00400
275|NCT00000105|MT1999-06
276|NCT00000106|M01RR03186
277|NCT00000107|M01RR00109
278|NCT00000108|M01RR00042
279|NCT00000110|M01RR00032
280|NCT00000111|M01RR00042
281|NCT00000112|M01RR06022
282|NCT00000125|5U10EY009307-16
283|NCT00000168|5U10EY008057
284|NCT00000170|2U10EY011751
285|NCT00000170|5-U10 EY 11751
286|NCT00000171|3U01AG10483-08S2
287|NCT00000173|3U01AG10483-08S2
288|NCT00000176|RO 1AG15922-01
289|NCT00000177|3U01AG10483-08S2
290|NCT00000178|3U01AG10483-08S2
291|NCT00000179|3U01AG10483-08S2
292|NCT00000180|3U01AG10483-08S2
293|NCT00000187|3R01DA012268
294|NCT00000187|K20-00144-1
295|NCT00000188|3R01DA012268
296|NCT00000188|K20-00144-2
297|NCT00000189|3R01DA012268
298|NCT00000189|K20-00144-3
299|NCT00000190|3R01DA012268
300|NCT00000190|K20-00144-4
301|NCT00000191|3R01DA012268
302|NCT00000191|K20-00144-5
303|NCT00000192|K20DA000191
304|NCT00000192|K20-00191-1
305|NCT00000193|K20DA000191
306|NCT00000193|K20-00191-2
307|NCT00000194|K20DA000191
308|NCT00000194|K20-00191-3
309|NCT00000195|K20DA000191
310|NCT00000195|K20-00191-4
76|NCT00000294|P50-09259-11
77|NCT00000295|P50-09259-12
78|NCT00000296|P50-09259-13
79|NCT00000297|P50-09259-14
80|NCT00000298|P50-09260-1
81|NCT00000299|P50DA009260
82|NCT00000299|P50-09260-2
83|NCT00000300|P50-09260-3
84|NCT00000301|P50-09260-4
85|NCT00000302|P50-09260-5
86|NCT00000303|P50-09260-6
87|NCT00000304|P50-09262-1
88|NCT00000305|P50DA009262
89|NCT00000305|P50-09262-2
90|NCT00000306|P50-09262-3
91|NCT00000307|P50-09262-4
92|NCT00000308|P50-09262-5
93|NCT00000309|R01DA009330
94|NCT00000309|R01-09330-1
95|NCT00000310|R01-09330-2
96|NCT00000311|R01-09413-1
193|NCT00000238|R01-06969-20
194|NCT00000239|R01-06969-21
195|NCT00000240|R01-06969-22
196|NCT00000241|R01-07200-1
197|NCT00000242|R29DA007761
198|NCT00000242|R29-07761-1
199|NCT00000243|R01-08045-1
479|NCT00000450|R01AA010518
480|NCT00000451|R01AA012028
481|NCT00000454|R01AA011197
482|NCT00000455|R01AA011062
483|NCT00000456|R01AA009568
484|NCT00000457|R01AA011219
485|NCT00000460|R01HL037597
486|NCT00000464|R01HL031472
487|NCT00000471|R01HL042554
488|NCT00000473|U01HL040548-04
489|NCT00000479|R01HL043851
490|NCT00000479|HL043851
491|NCT00000479|CA047988
492|NCT00000482|R01HL008888-14
493|NCT00000483|R01HL008888-14S1
494|NCT00000494|R01HL023121
495|NCT00000497|U01HL037854
496|NCT00000499|R10HL023914-01
497|NCT00000500|R01HL034595
498|NCT00000501|R01HL026585-07
499|NCT00000502|R01HL028941-03
500|NCT00000503|R01HL028843-05
501|NCT00000506|R01HL029188-04
502|NCT00000510|R01HL031025
503|NCT00000511|R01HL034593
504|NCT00000511|R01HL034593-05
505|NCT00000512|P01HL030086
506|NCT00000513|R01HL030171-05
507|NCT00000515|R01HL031989-06A2
508|NCT00000517|R01HL033233-06
509|NCT00000519|R01HL024462
510|NCT00000520|R01HL034545
511|NCT00000521|R01HL034659
512|NCT00000524|R01HL034744-04
513|NCT00000525|R01HL036821
514|NCT00000527|R37HL041619
515|NCT00000538|U01HL049644
516|NCT00000541|R01HL046959
517|NCT00000548|U01HL062514
518|NCT00000550|U01HL053149
519|NCT00000552|R01HL049970
520|NCT00000554|U01HL064829
521|NCT00000562|R01HL016154-05
522|NCT00000570|5R01HL035036
523|NCT00000571|R01HL034019
524|NCT00000579|N01 HR56166
525|NCT00000579|N01 HR56167
526|NCT00000579|N01 HR56168
527|NCT00000579|N01 HR56169
528|NCT00000579|N01 HR56170
529|NCT00000579|N01 HR56171
530|NCT00000579|N01 HR56172
531|NCT00000579|N01 HR56173
532|NCT00000579|N01 HR56174
533|NCT00000579|N01 HR56175
534|NCT00000579|N01 HR56176
535|NCT00000579|N01 HR56179
536|NCT00000580|P01HL009011-18A1
537|NCT00000581|N01-HB-6-2970
538|NCT00000581|N01-HB-6-2971
539|NCT00000581|N01-HB-6-2972
540|NCT00000581|N01-HB-6-2973
541|NCT00000583|P01HL009011-18A1
